primary_school,full_service_restaurant,hospital,large_hotel,large_office,medium_office,midrise_apartment,outpatient,supermarket,strip_mall,standalone_retail,small_office,small_hotel,secondary_school,quick_service_restaurant,warehouse
169.5097254,41.93934171,1490.58044,217.6692905,1215.141097,193.0201768,18.23389156,234.0476948,246.163106,49.52999719,57.62646257,12.12783003,51.87664163,450.3743407,25.75360827,67.05299452
170.5142025,42.66129078,1496.155223,220.2499526,1268.528876,178.3371662,18.2032734,236.7048165,276.0277001,49.52999719,57.52091541,12.12925633,52.32992535,496.1693885,26.88171633,67.05299452
171.8419668,42.00701225,1456.958643,238.7008887,1267.806862,175.2746468,17.77623925,226.6700126,259.847237,49.52999719,57.51955991,11.57942846,53.00521007,494.3870486,26.03570212,60.56017025
170.2895472,34.48632484,1493.096491,246.4739643,1357.583256,163.2835066,17.42151735,234.8263893,258.0384621,49.52999719,57.51955991,12.13842071,53.27672752,488.3662369,25.83222324,67.05299452
167.7479336,34.46988846,1492.238154,239.5000897,1337.638335,150.3837918,17.26435094,228.9218543,251.551049,49.52999719,57.51955991,12.12982261,53.10407818,471.8019501,20.81019582,67.05299452
164.0793923,34.44762125,1486.889298,222.4194008,1294.658754,147.9842901,18.64009949,226.1295093,246.2729054,49.52999719,57.51955991,12.12783003,52.39550777,436.5054298,20.77391268,67.05299452
167.6644351,43.98258323,1499.030006,245.1024917,1349.650864,162.0720079,28.76711242,230.8500214,251.3920393,55.27249719,61.7043853,13.27933003,59.61877044,440.3983936,21.94370343,71.51449452
128.6761508,46.10162463,1505.173601,292.9874117,1237.861676,166.96027,37.15060662,235.8983524,257.9641261,61.01499719,66.00328715,10.03078713,74.9274626,369.5872398,28.20988722,30.16837439
128.6779187,46.11946586,1239.08225,367.3705448,1062.297225,140.9761562,39.17910177,143.8241193,256.0949122,49.17020798,53.41576992,8.380771047,82.44517831,369.5946976,28.22280325,16.62659057
128.899206,38.76520668,1231.642397,380.1997219,1056.364978,141.2964339,38.21386797,145.706479,242.3105699,49.17020798,53.46596767,8.380771047,85.83004968,370.0056845,28.3740763,16.72110678
128.8833496,38.74610769,1097.10394,410.6520515,911.5325117,135.1368266,37.78527655,117.6249201,214.7941684,44.6227203,48.45458561,7.830765685,95.66363064,369.9732925,23.35726342,16.86311874
55.64922604,38.66584292,1058.312373,398.8069323,880.4004083,135.4887353,32.35223348,95.27315904,155.0269432,22.37764918,20.69360682,7.830765685,90.62400681,117.9740645,23.27966099,16.85729637
55.51814211,38.54710447,990.3869541,318.5552755,349.3568793,41.61660021,25.48147584,77.15989489,100.1600668,15.10699921,12.56968366,5.053026812,63.93322698,117.7086788,23.16301171,17.03525386
56.24829966,39.3032637,991.0020443,226.7280115,299.9921204,38.9361842,19.64682348,75.6686988,133.5888951,15.10699921,12.56968366,4.778024131,42.33683798,118.6648432,24.30328067,17.03849987
55.5398972,22.59217635,979.4551473,127.431767,287.7699243,38.9361842,16.01006412,78.66242416,105.2564443,15.10699921,12.56968366,4.778024131,36.69183886,117.747503,13.86811419,17.17077363
55.53601195,14.80768741,979.7322268,129.4473555,287.7699242,38.9361842,15.46033641,74.15708543,97.17143367,15.10699921,12.56968366,4.778024131,34.83265131,117.7425248,9.642078574,17.1276867
55.53240238,14.83374449,979.7950499,126.6510808,287.7699241,38.9361842,15.19098746,86.36743339,96.19723744,15.10699921,12.56968366,4.778024131,32.75573169,117.7387869,9.671624285,17.25080457
55.52418166,14.84264316,978.9761664,129.904446,287.7699241,38.9361842,15.07704856,74.6148263,95.09754559,15.10699921,12.56968366,4.778024131,32.60044373,117.7248103,9.680941239,17.22512136
56.57915177,15.50270523,1070.432564,141.3800742,299.992122,38.9361842,17.16900269,116.2127091,116.6046825,15.10699921,12.56968366,4.778024131,34.10744561,119.8372917,10.34238379,17.37033462
56.41068645,23.22004878,1071.48766,190.1316977,349.3583541,41.61660021,21.67629416,143.0032379,116.1884289,15.10699921,12.56968366,5.053026812,41.84926202,119.5022333,14.33715072,17.32696756
64.4332355,38.90963865,1300.195095,352.3457432,831.4277154,157.8463258,26.93305422,194.6755708,167.5177826,23.70960729,25.64219118,7.280760323,73.87491691,192.9880831,28.52439215,24.03340033
123.0965844,42.98093128,1412.761898,389.9240323,832.7215158,138.8552358,26.26625494,215.9007253,164.3919368,23.3235906,28.07375466,6.845437714,89.26213036,357.8849237,26.36075807,38.57480616
165.4895656,41.92355394,1452.705066,328.9118982,1348.085201,169.7889566,23.78597693,223.1384423,228.4240843,33.1377203,40.26388586,12.13345164,74.81384931,444.2959054,20.7384163,55.07894565
