dispatcher,reopt,original_load
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
322.79,322.79,322.79
386.51,386.51,386.51
465.99,465.99,465.99
527.82,527.815,598.62
734.58,736.673,1275.54
241.45,243.547,1238.78
0.15,0,1190.35
0.00,0,1273.56
0.00,0,1244.52
1.56,0,1301.79
105.75,179.541,1316.86
403.31,474.619,1325.11
994.00,814.824,1344.31
1174.83,1176.93,1178.36
899.61,899.61,899.61
875.18,875.18,875.18
662.63,664.73,664.73
640.32,640.32,640.32
384.61,384.61,384.61
322.79,322.79,322.79
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
261.86,261.86,261.86
274.86,274.86,274.86
298.94,298.94,298.94
466.02,466.02,466.02
414.40,414.4,449.28
281.95,281.946,777.37
0.00,0,740.57
0.00,0,691.58
0.00,0,691.56
0.00,0,691.55
0.00,0,729.6
0.00,0,466.23
0.00,0,474.13
190.30,328.732,474.31
369.70,382.28,382.28
368.62,370.72,370.72
260.29,346.28,346.28
260.29,164.342,346.28
281.99,321.84,321.84
297.39,297.39,297.39
264.55,272.94,272.94
258.62,260.72,260.72
258.62,78.7821,260.72
258.62,260.72,260.72
258.62,207.214,260.72
264.55,272.94,272.94
297.39,297.39,297.39
345.31,347.41,347.41
224.16,249.333,330.79
0.00,0,310.26
0.00,0,272.46
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,224.33
0.00,0,225.09
0.00,0,225.47
0.00,0,273.98
352.09,352.09,352.09
372.24,372.24,372.24
348.19,348.19,348.19
347.81,347.81,347.81
323.76,323.76,323.76
303.22,303.22,303.22
296.34,296.34,296.34
329.28,329.28,329.28
333.97,333.97,333.97
340.41,340.41,340.41
333.98,333.98,333.98
341.53,341.53,341.53
408.02,408.02,408.02
467.06,467.06,467.06
599.24,599.24,599.24
904.88,974.093,1275.9
398.92,581.39,1239.1
338.61,487.524,1190.14
513.66,515.761,1195.82
671.53,671.531,1140.22
695.20,695.203,1190
883.73,883.727,1189.92
868.46,868.459,1189.9
897.52,899.616,1238.81
1115.17,1117.27,1117.27
886.57,888.67,888.67
864.23,864.23,864.23
662.83,664.93,664.93
651.64,651.64,651.64
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
311.70,311.7,311.7
324.68,324.68,324.68
386.13,386.13,386.13
466.20,466.2,466.2
517.10,517.099,588.53
930.77,748.83,1283.12
990.21,992.303,1238.97
1029.83,1029.83,1190.03
889.52,889.516,1190.07
14.08,0,1140.28
0.00,0,1190.03
99.94,54.1037,1189.97
279.95,279.953,1189.97
745.31,565.467,1238.86
1102.85,1104.95,1117.27
888.66,888.66,888.66
862.12,864.22,864.22
662.80,664.9,664.9
640.50,640.5,640.5
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
323.92,323.92,323.92
386.51,386.51,386.51
466.09,466.09,466.09
563.84,563.844,599.56
924.72,926.818,1275.62
298.09,298.09,1238.81
0.00,0,1189.9
0.00,0,1191
0.00,0,1200.05
0.00,0,1279.05
0.02,0,1282.87
212.51,391.839,1285.36
810.99,890.59,1324.19
