load,pv_cf
465.96,0
578.06,0.0192
1275.61,0.1121
1238.89,0.1122
1189.91,0.281
1268.5,0.4665
1260.38,0.5917
1337.71,0.3514
1343.39,0.4343
1348.2,0.2815
1397.43,0.1025
1250.97,0.015
1037.69,0
988.96,0
757.3,0
697.96,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.74,0
577.92,0.0634
1299.19,0.2741
1340.2,0.4846
1336.58,0.6096
1356.29,0.6841
1322.33,0.6927
1381.03,0.6811
1373.95,0.6032
1358.82,0.4525
1398.99,0.2426
1252.21,0.0417
1029.89,0
994.83,0
751.53,0
640.24,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
468.17,0
588.99,0.0797
1287.94,0.2626
1313.59,0.4662
1322.69,0.5966
1344.19,0.6514
1306.85,0.6773
1373.15,0.6525
1387.16,0.5583
1405.46,0.4177
1452.63,0.2373
1273.54,0.0587
1048.95,0
1018.88,0
815.11,0
779.58,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
466.68,0
588.94,0.0288
1298.23,0.1943
1325.15,0.4136
1309.09,0.5046
1340.39,0.6059
1297.53,0.583
1353.32,0.5105
1353.59,0.5017
1351.17,0.2091
1396.34,0.0886
1239.11,0.0112
991.84,0
944.38,0
733.58,0
640.24,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
466.78,0
577.89,0.0184
1275.49,0.0963
1277.83,0.2081
1298.56,0.3756
1336.06,0.4277
1297.04,0.5002
1363.25,0.5594
1372.35,0.4241
1377.36,0.2958
1423.19,0.1446
1258.56,0.0173
1035.11,0
1004.89,0
795.38,0
746.67,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
466.24,0
428.31,0.0977
777.05,0.3003
834.89,0.4974
822.71,0.606
843.54,0.7206
853.44,0.7236
856.31,0.7155
516.65,0.6366
514.51,0.4878
557.04,0.2809
474.2,0.0638
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
336.39,0
309.88,0.0083
309.13,0.0662
272.46,0.1142
223.57,0.3952
223.57,0.4972
223.57,0.5063
223.57,0.6606
223.57,0.5795
223.57,0.4797
272.46,0.2456
329.66,0.0515
370.72,0
346.28,0
346.28,0
322.97,0
298.9,0
274.83,0
262.24,0
262.61,0
262.24,0
262.62,0
274.46,0
299.29,0
337.53,0
311.02,0.0095
310.64,0.1065
274.35,0.1479
223.57,0.1832
223.57,0.157
224.52,0.1233
224.71,0.2237
223.57,0.1687
224.71,0.0611
274.35,0.0602
331.17,0.0118
372.62,0
347.79,0
348.17,0
323.35,0
299.28,0
274.46,0
368.4,0
357.24,0
329.79,0
330.13,0
342.23,0
408.09,0
535.58,0
651.11,0.0265
1344.17,0.0828
1261.23,0.0835
1223.42,0.2068
1259.53,0.2661
1214.7,0.1428
1265.76,0.3664
1265.11,0.3646
1264.85,0.2177
1311.39,0.1018
1165.09,0.0128
933.11,0
897.55,0
720.5,0
640.41,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
323.92,0
385.37,0
455.64,0
577.99,0.0928
1292.22,0.284
1238.78,0.4796
1189.86,0.632
1212.12,0.4986
1210.8,0.7886
1264.12,0.5105
1267.05,0.5306
1269.85,0.2788
1315.78,0.083
1143.65,0.0259
888.48,0
864.06,0
664.76,0
640.38,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
455.47,0
583.7,0.0629
1275.54,0.1454
1238.82,0.2607
1221.41,0.382
1268.44,0.5326
1228.44,0.59
1277.62,0.6775
1268.06,0.6084
1236.13,0.4505
1238.72,0.2164
1086.3,0.0345
888.5,0
864.09,0
664.78,0
640.35,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
455.53,0
577.95,0.0793
1275.5,0.2884
1238.77,0.4114
1189.86,0.6123
1189.85,0.5014
1186.19,0.3673
1265.55,0.4834
1267.93,0.3171
1270.65,0.2743
1312.09,0.1649
1086.29,0.0601
888.51,0
864.09,0
664.79,0
640.36,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
273.32,0
299.28,0
455.64,0
428.49,0.089
777.18,0.309
740.42,0.5011
691.51,0.6469
725.95,0.74
769.93,0.7624
775.7,0.707
437.98,0.61
437.4,0.4476
479.36,0.1881
362.64,0.025
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
261.48,0
262.23,0
274.85,0
298.92,0
337.95,0
310.67,0.1163
311.03,0.348
273.97,0.533
223.57,0.6374
223.57,0.5999
223.57,0.662
223.57,0.5541
223.57,0.5499
223.57,0.4504
272.46,0.2151
319.39,0.0481
370.72,0
346.28,0
346.28,0
321.83,0
297.39,0
272.94,0
311.69,0
312.07,0
312.45,0
312.08,0
324.68,0
