original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
7491,7491,0,312.28,3.12E+02,312.28
7492,7492,0,324.98,3.25E+02,324.98
7493,7493,0,386.35,3.86E+02,386.35
7494,7494,0,560.947,5.60E+02,583.26
7495,7235.22579,0.119504,245.11,2.27E+02,669.06
7496,7162.743669,0.153308,472.068,4.35E+02,1349.58
7497,7237.88879,0.119199,96.9906,4.48E+01,1327.76
7498,7218.753158,0.128462,0,2.03E+01,1296.07
7499,7053.42932,0.204976,0,9.89E+00,1330.58
7500,6779.979989,0.331231,0,2.05E+00,1298.67
7501,6970.671854,0.243967,0,4.60E+00,1349.29
7502,7231.589533,0.124397,348.898,2.85E+02,1347.36
7503,7383.037242,0.0551865,764.005,7.11E+02,1336.64
7504,7504,0,1182.68,1.14E+03,1378.56
7505,7505,0,1182.68,1.14E+03,1247.93
7506,7506,0,982.89,9.61E+02,982.89
7507,7507,0,940.72,9.19E+02,940.72
7508,7508,0,730.81,7.09E+02,730.81
7509,7509,0,700.64,6.79E+02,700.64
7510,7510,0,384.61,3.63E+02,384.61
7511,7511,0,322.79,3.01E+02,322.79
7512,7512,0,153.515,2.91E+02,312.24
7513,7513,0,312.66,2.91E+02,312.66
7514,7514,0,312.26,2.91E+02,312.26
7515,7515,0,312.67,2.91E+02,312.67
7516,7516,0,324.54,3.25E+02,324.54
7517,7517,0,386.85,3.87E+02,386.85
7518,7518,0,559.678,5.59E+02,572.19
7519,7452.758272,0.0304732,422.643,4.14E+02,630.76
7520,7340.67354,0.0824956,623.975,5.93E+02,1351.76
7521,6585.441999,0.430385,317.808,2.53E+02,1339
7522,6757.587258,0.351653,0,1.74E+01,1316.92
7523,7358.366268,0.0757365,0,1.76E+01,1343.56
7524,7164.051947,0.165587,0,3.61E+00,1299.7
7525,7149.137777,0.172908,82.1255,8.14E+01,1350.49
7526,7313.763966,0.097635,422.355,3.62E+02,1350.75
7527,7220.663637,0.140924,911.615,8.78E+02,1349.12
7528,7528,0,1182.68,1.14E+03,1396.43
7529,7529,0,1182.68,1.14E+03,1260.24
7530,7530,0,994.35,9.73E+02,994.35
7531,7531,0,946.98,9.47E+02,946.98
7532,7532,0,727.16,7.27E+02,727.16
7533,7533,0,700.41,6.79E+02,700.41
7534,7534,0,384.61,3.63E+02,384.61
7535,7535,0,324.05,3.24E+02,324.05
7536,7536,0,262.47,2.62E+02,262.47
7537,7537,0,262.92,2.41E+02,262.92
7538,7538,0,262.59,2.63E+02,262.59
7539,7539,0,380.77,3.81E+02,380.77
7540,7540,0,374.35,3.74E+02,374.35
7541,7541,0,423.74,4.24E+02,423.74
7542,7542,0,426.6,4.27E+02,426.6
7543,7370.928714,0.079158,335.24,3.09E+02,437.63
7544,6988.76045,0.255427,165.138,1.36E+02,336.97
7545,6906.778954,0.293601,0,-1.28E+01,274.62
7546,6881.456773,0.30571,0,-1.22E+01,225.26
7547,6798.473169,0.344345,0,-1.24E+01,264.88
7548,6819.958778,0.334921,0,-1.41E+01,270.96
7549,6935.409942,0.28227,0,-1.21E+02,263.36
7550,7092.286641,0.210562,0,-8.41E+01,255.58
7551,7339.03134,0.097512,0,-2.17E+01,263.7
7552,7552,0,214.515,1.45E+02,314.82
7553,7553,0,430.886,3.73E+02,437.71
7554,7554,0,423.23,3.58E+02,423.23
7555,7555,0,380.67,3.16E+02,380.67
7556,7556,0,34.3014,2.83E+02,347.97
7557,7557,0,323.98,2.59E+02,323.98
7558,7558,0,0,2.34E+02,299.17
7559,7559,0,354,2.89E+02,354
7560,7560,0,399.06,3.34E+02,399.06
7561,7561,0,375.88,3.11E+02,375.88
7562,7562,0,400.41,3.35E+02,400.41
7563,7563,0,368.85,3.04E+02,368.85
7564,7564,0,98.9714,3.48E+02,412.64
7565,7565,0,409.64,3.66E+02,409.64
7566,7566,0,477.73,4.13E+02,477.73
7567,7466.783986,0.0461024,357.18,2.89E+02,428.29
7568,7311.210376,0.118131,170.227,1.17E+02,400.24
7569,7367.303055,0.0927867,0,-2.94E+02,274.57
7570,7267.543816,0.139139,0,-1.25E+02,245.36
7571,7282.929826,0.132521,0,-5.24E+00,262.8
7572,7138.415488,0.199462,0,1.40E+01,255.27
7573,7100.183287,0.21751,0,-1.44E+00,263.49
7574,7169.680954,0.185999,0,1.88E+01,247.62
7575,7381.723153,0.0889132,36.8718,2.79E+01,247.7
7576,7576,0,315.136,3.15E+02,323.06
7577,7577,0,430.16,4.30E+02,430.16
7578,7578,0,444.76,4.45E+02,444.76
7579,7579,0,406.35,4.06E+02,406.35
7580,7580,0,420.75,4.21E+02,420.75
7581,7581,0,367.82,3.68E+02,367.82
7582,7582,0,337.86,3.38E+02,337.86
7583,7583,0,305.33,3.05E+02,305.33
7584,7584,0,350.97,3.51E+02,350.97
7585,7585,0,342.99,3.43E+02,342.99
7586,7586,0,350.86,3.51E+02,350.86
7587,7587,0,342.9,3.43E+02,342.9
7588,7588,0,383.22,3.83E+02,383.22
7589,7589,0,443.9,4.44E+02,443.9
7590,7590,0,648.24,6.48E+02,648.24
7591,7561.28826,0.0136683,662.181,6.41E+02,771.87
7592,7434.566012,0.0724244,1182.68,1.14E+03,1468.35
7593,7350.548563,0.111535,1158.74,1.14E+03,1432.75
7594,7356.128696,0.109428,1016.51,1.01E+03,1388.33
7595,7392.03466,0.0933702,954.795,9.54E+02,1392.3
7596,7466.995663,0.0593459,970.611,9.80E+02,1344.93
7597,7338.764819,0.118796,1088.58,1.08E+03,1397.63
7598,7491.086166,0.0491836,1109.52,1.14E+03,1405.85
7599,7389.561608,0.096348,1182.68,1.14E+03,1406.4
7600,7600,0,1182.68,1.14E+03,1457.41
7601,7601,0,1182.68,1.14E+03,1340.59
7602,7602,0,1086.93,1.11E+03,1086.93
7603,7603,0,1058.94,1.09E+03,1058.94
7604,7604,0,856.4,8.83E+02,856.4
7605,7605,0,830.07,8.56E+02,830.07
7606,7606,0,384.61,4.11E+02,384.61
7607,7607,0,322.79,3.49E+02,322.79
7608,7608,0,310.56,3.37E+02,310.56
7609,7609,0,310.56,3.37E+02,310.56
7610,7610,0,310.56,3.37E+02,310.56
