load,pv_cf
483.06,0
586.89,0
592.4,0.0167
1277.13,0.1157
1287.21,0.0883
1250.7,0.3842
1249.4,0.3071
1216.3,0.4084
1279.01,0.177
1278.79,0.3474
1277.04,0.2112
1320.37,0.0532
1188.68,0
950.02,0
922.42,0
722.86,0
698.23,0
384.61,0
323.21,0
312.65,0
312.26,0
312.69,0
337.32,0
426.66,0
516.49,0
601.39,0
588.94,0.01
1355.2,0.0253
1296.98,0.0712
1247.97,0.0796
1248.33,0.091
1198.83,0.1069
1248.92,0.0951
1249.73,0.0728
1250.4,0.0461
1299.51,0.0132
1177.2,0
947.62,0
922.81,0
723.25,0
698.44,0
384.61,0
323.63,0
312.24,0
312.7,0
312.28,0
375.42,0
428.79,0
525.92,0
615.34,0
680.93,0.0177
1338.39,0.1587
1307.65,0.4024
1265.88,0.6185
1278.01,0.5936
1243.96,0.6678
1306.02,0.3554
1309.79,0.2033
1313.49,0.1407
1379.51,0.044
1271.62,0
1048.55,0
1022.57,0
813.52,0
769.32,0
384.61,0
322.79,0
278.1,0
270.84,0
262.82,0
262.42,0
344.63,0
399.79,0
595.12,0
439.72,0.0031
777.86,0.0219
741.02,0.0857
692.07,0.0768
692.01,0.1122
691.94,0.1974
691.94,0.1921
355.7,0.143
355.78,0.1192
404.83,0.0747
383.2,0
371.85,0
459.69,0
453.88,0
453.81,0
413.67,0
403.86,0
376.06,0
390.85,0
375.38,0
390.21,0
386.68,0
426.06,0
458.79,0
447.56,0.0838
421.61,0.3368
401.3,0.5605
337.06,0.7251
353.76,0.6801
338.83,0.781
355.17,0.6958
339.45,0.2905
355.3,0.2399
387.36,0.1561
478.42,0
480.73,0
469.78,0
453.34,0
442.32,0
402.1,0
390.94,0
413.6,0
426.65,0
411.77,0
424.2,0
422.39,0
497.51,0
586.77,0
591.87,0.0831
1277.64,0.3385
1240.26,0.5648
1236.85,0.7266
1249.83,0.7983
1196.6,0.8031
1248.89,0.7446
1255.59,0.6109
1262.56,0.4113
1316.03,0.1577
1193.25,0
961.7,0
933.59,0
730.84,0
703.05,0
384.61,0
323.21,0
312.65,0
312.27,0
368.96,0
441.87,0
430.37,0
520.41,0
610.44,0
674.58,0.0828
1332.36,0.3402
1295.11,0.5539
1246.29,0.699
1246.55,0.7105
1196.89,0.756
1247.24,0.6816
1247.61,0.441
1247.13,0.2134
1239.17,0.1166
1117.79,0
889.53,0
865.42,0
666.34,0
642.18,0
391.64,0
435.17,0
422.26,0
440.34,0
424.93,0
439.64,0
436.58,0
513.1,0
585.73,0
593.91,0.1146
1280.47,0.36
1242.14,0.576
1192.02,0.7128
1191.43,0.7232
1141.51,0.7009
1191.8,0.6717
1191.45,0.5754
1190.5,0.1414
1239.22,0.045
1117.78,0.0015
889.4,0
865.22,0
666.11,0
641.91,0
385.78,0
434.55,0
408.67,0
433.87,0
409.24,0
434.05,0
421.5,0
507.92,0
587.6,0
591.76,0.0987
1277.74,0.2787
1240.38,0.3895
1191.1,0.6002
1190.8,0.632
1140.97,0.6874
1260.45,0.2886
1250.17,0.2731
1249.1,0.1856
1297.71,0.0639
1165.4,0.0011
898.56,0
864.67,0
665.57,0
641.44,0
385.69,0
362.73,0
408.53,0
432.31,0
428.5,0
440.99,0
439.93,0
514.54,0
588.27,0
580.62,0.0493
1277.01,0.2052
1239.79,0.3124
1210.28,0.585
1259.91,0.5961
1201.63,0.6567
1259.4,0.5221
1264.81,0.4578
1263.3,0.3375
1303.69,0.1122
1166.77,0.0003
947.07,0
874.07,0
665.34,0
641.18,0
385.47,0
324.52,0
326.29,0
384.7,0
360.72,0
384.6,0
372.86,0
421.26,0
592.54,0
429.8,0.0443
778.05,0.1903
741,0.3528
751.52,0.6435
750.83,0.694
756.52,0.5722
769.84,0.2577
434.3,0.1641
431.62,0.2901
474.72,0.0407
431.59,0
370.93,0
348.36,0
377.09,0
421.23,0
421.9,0
376.85,0
394.13,0
379,0
392.81,0
378.46,0
404.51,0
414.59,0
477.16,0
426.43,0.0105
443.39,0.0347
385.78,0.1064
357.56,0.0995
336.79,0.1308
311.5,0.1286
225.69,0.1139
225.26,0.0994
254.55,0.0605
417.8,0.0259
454.11,0
506.63,0
454.02,0
478.17,0
428.89,0
437.33,0
378.07,0
446.75,0
430.96,0
445.6,0
431.33,0
461.82,0
496.62,0
625.42,0
709.9,0.1281
1398.03,0.3439
1375.17,0.3448
1339.43,0.5545
1339.14,0.5211
1291.02,0.3896
1337.82,0.4538
1328.23,0.348
1320.77,0.2538
1368.12,0.098
1238.56,0.0039
1010.15,0
987.3,0
782.95,0
752.13,0
384.61,0
322.79,0
323.1,0
337.03,0
335.96,0
312.22,0
324.87,0
386.27,0
616.55,0
709.02,0.0474
1395.71,0.2223
1362.91,0.4759
1318.49,0.6135
1322.89,0.744
1276.88,0.6819
1333.88,0.5483
1341.17,0.476
1342.88,0.2755
1382.67,0.1253
1233.36,0.0021
981.34,0
941.61,0
737.2,0
707.73,0
384.61,0
322.79,0
311.82,0
312.27,0
312.72,0
326.12,0
447.23,0
486.61,0
595.71,0
629.28,0.1095
1346.16,0.145
1352.14,0.2965
1334.44,0.4113
1355.74,0.4356
1313.71,0.2426
1367.91,0.1525
1369.14,0.1676
1369.44,0.0663
1417.24,0.0291
1282.27,0
1059.9,0
1030.61,0
818.75,0
780.78,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
319.35,0
361.86,0
386.28,0
598.25,0
662.74,0.0293
1346.96,0.0996
1331.47,0.1668
1300.46,0.6457
1323.51,0.637
1291.63,0.803
1346.92,0.7765
1344.91,0.6541
1334.45,0.4657
1363.87,0.2302
1215.36,0.029
983.13,0
948.68,0
742.86,0
711.91,0
384.61,0
322.79,0
310.56,0
312.65,0
312.24,0
312.69,0
324.49,0
386.78,0
596.5,0
661.36,0.0357
1335.12,0.1619
1300.29,0.3973
1251.94,0.6553
1251.9,0.7174
1201.69,0.7375
1250.75,0.6396
1250.72,0.4429
1250.48,0.2789
1299.45,0.1025
1157.27,0.0046
948.71,0
923.9,0
724.29,0
699.46,0
384.61,0
323.64,0
262.42,0
262.89,0
262.47,0
262.95,0
274.73,0
299.67,0
597.7,0
513.88,0.083
835.74,0.3242
799.36,0.5776
751.56,0.7195
752.66,0.7672
754.72,0.7813
756.78,0.7255
422.1,0.6294
423.49,0.4474
475.97,0.2012
438.58,0.0243
370.72,0
346.28,0
368.91,0
357.25,0
331.56,0
305.52,0
271.9,0
262.81,0
262.4,0
262.85,0
397.44,0
416.25,0
476.94,0
420.25,0.0189
446.44,0.1707
382.6,0.1347
360.89,0.415
335.45,0.2311
350.36,0.1843
330.55,0.1677
332.93,0.1338
357.63,0.0937
378.37,0.0218
460.72,0
482.74,0
484.78,0
467.38,0
456.68,0
415.9,0
404.99,0
376.89,0
389.67,0
374.59,0
387.29,0
384.53,0
420.83,0
444.79,0
430,0.0326
416.89,0.1026
393.22,0.1666
331.47,0.4391
344.46,0.147
331.61,0.1967
344.66,0.2149
331.45,0.1307
343.89,0.092
378.43,0.0489
445.9,0.005
472.82,0
458.73,0
445.77,0
431.63,0
394.78,0
380.44,0
406.37,0
416.41,0
404.73,0
414.36,0
415.44,0
487.28,0
572.33,0
584.47,0.1098
1280.09,0.2597
1241.52,0.3754
1191.59,0.3759
1208.72,0.2918
1208.75,0.472
1246.16,0.5871
1246.69,0.6523
1251.2,0.4918
1306.1,0.2406
1163.62,0.0337
953.94,0
930.17,0
735.36,0
715.86,0
384.61,0
322.79,0
310.56,0
310.56,0
332.12,0
343.34,0
349.27,0
402.72,0
596.8,0
673.49,0.1206
1338.06,0.3509
1297.8,0.5177
1247.91,0.6859
1248.01,0.7434
1199.17,0.7332
1252.55,0.5947
1254.19,0.528
1251.28,0.1656
1297.89,0.1609
1155.08,0.0105
927.18,0
864.49,0
665.35,0
641.13,0
385.26,0
324.52,0
412.37,0
408.49,0
442.22,0
426.58,0
453.48,0
499.99,0
576.83,0.0011
580.86,0.1236
1277.38,0.3917
1240.19,0.5502
1191,0.6684
1190.74,0.6982
1140.68,0.7423
1248.85,0.5567
1248.71,0.1977
1247.68,0.1106
1296.73,0.0233
1154.55,0.0027
893.78,0
864.57,0
665.25,0
640.87,0
384.61,0
324.49,0
312.7,0
312.31,0
312.73,0
318.33,0
444.54,0
493.73,0
596.26,0
664.37,0.1364
1334.88,0.3669
1307.22,0.2302
1270.74,0.4162
1285.05,0.6077
1253.2,0.3603
1307.36,0.2255
1300.16,0.3498
1289.39,0.268
1332.19,0.1112
1185.78,0.0095
972.11,0
942.99,0
740.43,0
712.06,0
384.61,0
322.79,0
273.03,0
262.81,0
262.39,0
262.83,0
274.63,0
299.53,0
601.96,0.0037
538.23,0.1546
882.4,0.3792
860.83,0.5558
821.82,0.5667
832.37,0.5428
846.57,0.3424
851.83,0.3676
509.51,0.3171
503.53,0.31
546.86,0.1153
499.09,0.0195
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
322,0
299.99,0
278.44,0
270.08,0
262.4,0
275.04,0
299.08,0
327.86,0.0024
394.84,0.1423
311.24,0.3882
274.16,0.5846
225.68,0.7075
225.27,0.7808
225.67,0.7954
225.26,0.7133
225.66,0.5829
225.26,0.3816
274.56,0.133
321.09,0.0103
372.84,0
436.09,0
494.38,0
437.06,0
435.23,0
380.54,0
442.36,0
422.98,0
448.31,0
431.33,0
457.33,0
502.98,0
571.22,0.0011
579.71,0.0364
1276.39,0.1186
1317.9,0.1353
1247.14,0.1647
1247.61,0.1913
1203.66,0.2729
1264.02,0.2434
1268.86,0.2091
1272.3,0.1347
1318.05,0.0335
1154.17,0.0052
947.56,0
921.76,0
722.27,0
697.64,0
384.61,0
323.63,0
312.24,0
312.68,0
312.26,0
312.71,0
324.5,0
451.8,0
585.33,0
669.61,0.1294
1370.94,0.3637
1368.08,0.565
1338.29,0.7072
1353.69,0.7495
1308.44,0.7962
1359.55,0.7479
1360.32,0.6036
1360.93,0.4142
1409.09,0.1826
1253.77,0.0199
1043.08,0
998.08,0
767.93,0
721.57,0
384.61,0
322.79,0
310.56,0
312.25,0
312.68,0
312.34,0
325.01,0
482.85,0
572.83,0.0128
579.03,0.1771
1338.8,0.4268
1305.73,0.6314
1271.92,0.7758
1298.45,0.8368
1275.31,0.7896
1334.14,0.7277
1340.65,0.6074
1344.24,0.376
1394.82,0.1737
1240.7,0.0297
1032.52,0
983.71,0
765.27,0
731.67,0
384.61,0
322.79,0
311.82,0
312.28,0
312.72,0
312.35,0
324.98,0
386.4,0
581.76,0.0146
665.47,0.1804
1364.57,0.4252
1383.02,0.5545
1358.81,0.6507
1367.88,0.5348
1322.11,0.2218
1373.53,0.2329
1373.72,0.1718
1371.12,0.1696
1417.31,0.0256
1261.95,0.0185
1060.76,0
1033.43,0
825.61,0
795.99,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
425.5,0
610.77,0.0091
719.28,0.0573
1406.23,0.1089
1381.15,0.1487
1345.66,0.2697
1351.29,0.2616
1303.44,0.339
1356.74,0.4149
1357.02,0.5258
1357.28,0.4373
1406.63,0.1249
1253.86,0.0239
1054.76,0
1029.82,0
827.35,0
802.42,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
299.16,0
352.66,0
614.14,0.0089
570.14,0.166
912.02,0.4165
898.72,0.6319
857.74,0.7727
856.58,0.8518
855.52,0.8623
854.97,0.7896
515.1,0.6567
509.69,0.4644
558.81,0.2261
507.05,0.0311
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
316.79,0
333.72,0
319.12,0
320.05,0
292.14,0
272.94,0
297.39,0
315.48,0.003
309.13,0.0488
309.13,0.0703
272.46,0.4517
223.57,0.5666
223.57,0.6995
223.57,0.8026
223.57,0.2281
223.57,0.2083
223.57,0.0935
272.46,0.0541
319.39,0.0087
370.72,0
346.28,0
346.28,0
321.83,0
297.39,0
272.94,0
310.56,0
349.11,0
338.13,0
343.7,0
324.46,0
386.71,0
571.23,0.006
671.94,0.0649
1357.04,0.1039
1337.24,0.188
1305.16,0.2785
1333.66,0.3385
1299.84,0.248
1352.35,0.2878
1353.44,0.2005
1353.46,0.1736
1401.9,0.0826
1247.72,0.0196
1035.17,0
971.71,0
758.43,0
725.27,0
384.61,0
322.79,0
310.56,0
311.4,0
312.23,0
312.67,0
324.48,0
386.78,0
573.16,0.0175
670.35,0.1898
1351.99,0.4444
1333.35,0.6589
1314.92,0.798
1336.35,0.8504
1308.47,0.8464
1365.1,0.7892
1368.56,0.6655
1367.97,0.4775
1416.84,0.2389
1263.61,0.0399
1061.6,0
